city,country
Araruama,Federative Republic of Brazil
Colatina,Federative Republic of Brazil
Bragança,Federative Republic of Brazil
Valinhos,Federative Republic of Brazil
Bagé,Federative Republic of Brazil
Guarapari,Federative Republic of Brazil
Sertãozinho,Federative Republic of Brazil
Ribeirão Pires,Federative Republic of Brazil
Itaguaí,Federative Republic of Brazil
São Félix do Xingu,Federative Republic of Brazil
Codó,Federative Republic of Brazil
Vespasiano,Federative Republic of Brazil
Jandira,Federative Republic of Brazil
Catanduva,Federative Republic of Brazil
Barretos,Federative Republic of Brazil
Paulo Afonso,Federative Republic of Brazil
Paço do Lumiar,Federative Republic of Brazil
Guaratinguetá,Federative Republic of Brazil
Birigui,Federative Republic of Brazil
Trindade,Federative Republic of Brazil
Votorantim,Federative Republic of Brazil
Barcarena,Federative Republic of Brazil
Itabira,Federative Republic of Brazil
Tatuí,Federative Republic of Brazil
Várzea Paulista,Federative Republic of Brazil
Arapongas,Federative Republic of Brazil
Araguari,Federative Republic of Brazil
Três Lagoas,Federative Republic of Brazil
Salto,Federative Republic of Brazil
Caraguatatuba,Federative Republic of Brazil
Itatiba,Federative Republic of Brazil
Poá,Federative Republic of Brazil
Eunápolis,Federative Republic of Brazil
Bento Gonçalves,Federative Republic of Brazil
Almirante Tamandaré,Federative Republic of Brazil
Formosa,Federative Republic of Brazil
Igarassu,Federative Republic of Brazil
Santana,Federative Republic of Brazil
Passos,Federative Republic of Brazil
Parintins,Federative Republic of Brazil
Ubá,Federative Republic of Brazil
São Lourenço da Mata,Federative Republic of Brazil
Ourinhos,Federative Republic of Brazil
Açailândia,Federative Republic of Brazil
Altamira,Federative Republic of Brazil
Coronel Fabriciano,Federative Republic of Brazil
Corumbá,Federative Republic of Brazil
Umuarama,Federative Republic of Brazil
Tucuruí,Federative Republic of Brazil
Paragominas,Federative Republic of Brazil
Novo Gama,Federative Republic of Brazil
Muriaé,Federative Republic of Brazil
Patos,Federative Republic of Brazil
Piraquara,Federative Republic of Brazil
Ariquemes,Federative Republic of Brazil
Cambé,Federative Republic of Brazil
Ituiutaba,Federative Republic of Brazil
Tubarão,Federative Republic of Brazil
Santa Cruz do Capibaribe,Federative Republic of Brazil
Araxá,Federative Republic of Brazil
Lagarto,Federative Republic of Brazil
Bacabal,Federative Republic of Brazil
Senador Canedo,Federative Republic of Brazil
Erechim,Federative Republic of Brazil
Santo Antônio de Jesus,Federative Republic of Brazil
Assis,Federative Republic of Brazil
Iguatu,Federative Republic of Brazil
Itumbiara,Federative Republic of Brazil
Lavras,Federative Republic of Brazil
Catalão,Federative Republic of Brazil
Japeri,Federative Republic of Brazil
Tailândia,Federative Republic of Brazil
Leme,Federative Republic of Brazil
Paulínia,Federative Republic of Brazil
SP,Federative Republic of Brazil
MG,Federative Republic of Brazil
RJ,Federative Republic of Brazil
PR,Federative Republic of Brazil
RS,Federative Republic of Brazil
BA,Federative Republic of Brazil
PA,Federative Republic of Brazil
"GO, PE, SC",Federative Republic of Brazil
"CE, ES, MA",Federative Republic of Brazil
"MS, MT, PB",Federative Republic of Brazil
"RN, RO, SE",Federative Republic of Brazil
"AL, AM, AP, PI, TO",Federative Republic of Brazil
"AC, DF, RR",Federative Republic of Brazil
Rank,Republic of Bulgaria
Ouagadougou,Burkina Faso
Bobo Dioulasso,Burkina Faso
Banfora,Burkina Faso
Koudougou,Burkina Faso
Ouahigouya,Burkina Faso
Kaya,Burkina Faso
Fada N'gourma,Burkina Faso
Tenkodogo,Burkina Faso
Houndé,Burkina Faso
Dédougou,Burkina Faso
Bujumbura,Republic of Burundi
Gitega,Republic of Burundi
Muyinga,Republic of Burundi
Ngozi,Republic of Burundi
Ruyigi,Republic of Burundi
Kayanza,Republic of Burundi
Bururi,Republic of Burundi
Rutana,Republic of Burundi
Muramvya,Republic of Burundi
Makamba,Republic of Burundi
Phnom Penh,Kingdom of Cambodia
Ta Khmau,Kingdom of Cambodia
Battambang,Kingdom of Cambodia
Serei Saophoan,Kingdom of Cambodia
Siem Reap,Kingdom of Cambodia
Kampong Cham,Kingdom of Cambodia
Sihanoukville,Kingdom of Cambodia
Poipet,Kingdom of Cambodia
Chbar Mon,Kingdom of Cambodia
Kampot,Kingdom of Cambodia
Banlung,Kingdom of Cambodia
Battambang,Kingdom of Cambodia
Bavet,Kingdom of Cambodia
Chbar Mon,Kingdom of Cambodia
Doun Kaev,Kingdom of Cambodia
Kampong Cham,Kingdom of Cambodia
Kampong Chhnang,Kingdom of Cambodia
Kampot,Kingdom of Cambodia
Kep,Kingdom of Cambodia
Khemarak Phoumin,Kingdom of Cambodia
Kratié,Kingdom of Cambodia
Pailin,Kingdom of Cambodia
Phnom Penh,Kingdom of Cambodia
Poipet,Kingdom of Cambodia
Prey Veng,Kingdom of Cambodia
Pursat,Kingdom of Cambodia
Samraong,Kingdom of Cambodia
Senmonorom,Kingdom of Cambodia
Serei Saophoan,Kingdom of Cambodia
Siem Reap,Kingdom of Cambodia
Sihanoukville,Kingdom of Cambodia
Stung Saen,Kingdom of Cambodia
Stung Treng,Kingdom of Cambodia
Suong,Kingdom of Cambodia
Svay Rieng,Kingdom of Cambodia
Ta Khmau,Kingdom of Cambodia
Tbeng Meanchey,Kingdom of Cambodia
Mongkol Borey,Kingdom of Cambodia
Poipet,Kingdom of Cambodia
Preah Netr Preah,Kingdom of Cambodia
Thmar Puok,Kingdom of Cambodia
Phnom Srok,Kingdom of Cambodia
Thmar Kol,Kingdom of Cambodia
Moung Ruessei,Kingdom of Cambodia
Svay Don Kêv,Kingdom of Cambodia
Skuon,Kingdom of Cambodia
Rôméas,Kingdom of Cambodia
Tuek Phos,Kingdom of Cambodia
Amleang,Kingdom of Cambodia
Khŭm Sráng,Kingdom of Cambodia
Oudong,Kingdom of Cambodia
Dăm Thnăm,Kingdom of Cambodia
Sre Ambel,Kingdom of Cambodia
Phanomsok,Kingdom of Cambodia
Cheom Ksan,Kingdom of Cambodia
Koulen,Kingdom of Cambodia
Neak Leung,Kingdom of Cambodia
Roluos,Kingdom of Cambodia
Bavet,Kingdom of Cambodia
Suong,Kingdom of Cambodia
Douala,Republic of Cameroon
Yaoundé,Republic of Cameroon
Bamenda,Republic of Cameroon
Bafoussam,Republic of Cameroon
Garoua,Republic of Cameroon
Maroua,Republic of Cameroon
Ngaoundéré,Republic of Cameroon
Kumba,Republic of Cameroon
Buéa,Republic of Cameroon
Nkongsamba,Republic of Cameroon
Canada,Canada
Alberta,Canada
British Columbia,Canada
Manitoba,Canada
New Brunswick,Canada
Newfoundland and Labrador,Canada
Nova Scotia,Canada
Ontario,Canada
Prince Edward Island,Canada
Quebec,Canada
Saskatchewan,Canada
Northwest Territories,Canada
Nunavut,Canada
Yukon,Canada
Airdrie,Canada
Brooks[AB 1],Canada
Calgary[AB 2],Canada
Camrose,Canada
Chestermere[AB 3],Canada
Cold Lake,Canada
Edmonton[AB 4],Canada
Fort Saskatchewan,Canada
Grande Prairie,Canada
Lacombe[AB 5],Canada
Leduc,Canada
Lethbridge,Canada
Lloydminster (part)[AB 6],Canada
Medicine Hat,Canada
Red Deer,Canada
Spruce Grove,Canada
St. Albert,Canada
Wetaskiwin,Canada
Abbotsford,Canada
Armstrong,Canada
Burnaby,Canada
Campbell River,Canada
Castlegar,Canada
Chilliwack,Canada
Colwood,Canada
Coquitlam,Canada
Courtenay,Canada
Cranbrook,Canada
Dawson Creek,Canada
Delta,Canada
Duncan,Canada
Enderby,Canada
Fernie,Canada
Fort St. John,Canada
Grand Forks,Canada
Greenwood,Canada
Kamloops,Canada
Kelowna,Canada
Kimberley,Canada
Langford,Canada
Langley,Canada
Maple Ridge,Canada
Merritt,Canada
Nanaimo,Canada
Nelson,Canada
New Westminster,Canada
North Vancouver,Canada
Parksville,Canada
Penticton,Canada
Pitt Meadows,Canada
Port Alberni,Canada
Port Coquitlam,Canada
Port Moody,Canada
Powell River,Canada
Prince George,Canada
Prince Rupert,Canada
Quesnel,Canada
Revelstoke,Canada
Richmond,Canada
Rossland,Canada
Salmon Arm,Canada
Surrey,Canada
Terrace,Canada
Trail,Canada
Vancouver[a],Canada
Vernon,Canada
Victoria[b],Canada
West Kelowna,Canada
White Rock,Canada
Williams Lake,Canada
Total cities,Canada
Brandon,Canada
Dauphin[MB 1],Canada
Flin Flon (part)[MB 2],Canada
Morden[MB 5],Canada
Portage la Prairie,Canada
Selkirk,Canada
Steinbach,Canada
Thompson,Canada
Winkler,Canada
Winnipeg[MB 6],Canada
Total cities,Canada
Bathurst,Canada
Campbellton[NB 1],Canada
Dieppe,Canada
Edmundston,Canada
Fredericton[NB 2],Canada
Miramichi,Canada
Moncton[NB 3],Canada
Saint John[NB 4],Canada
Corner Brook[NL 1],Canada
Mount Pearl[NL 2],Canada
St. John's[NL 3],Canada
Total cities,Canada
Yellowknife,Canada
Iqaluit,Canada
Barrie[ON 1],Canada
Belleville,Canada
Brampton[ON 2],Canada
Brant,Canada
Brantford[ON 3],Canada
Brockville,Canada
Burlington,Canada
Cambridge[ON 4],Canada
Clarence-Rockland,Canada
Cornwall,Canada
Dryden[ON 5],Canada
Elliot Lake,Canada
Greater Sudbury[ON 6],Canada
Guelph[ON 7],Canada
Haldimand County,Canada
Hamilton[ON 8],Canada
Kawartha Lakes,Canada
Kenora,Canada
Kingston[ON 9],Canada
Kitchener[ON 10],Canada
London[ON 11],Canada
Markham[ON 12],Canada
Mississauga[ON 13],Canada
Niagara Falls[ON 14],Canada
Norfolk County,Canada
North Bay,Canada
Orillia,Canada
Oshawa[ON 15],Canada
Ottawa[ON 16],Canada
Owen Sound,Canada
Pembroke[ON 17],Canada
Peterborough[ON 18],Canada
Pickering,Canada
Port Colborne,Canada
Prince Edward County,Canada
Quinte West,Canada
Sarnia,Canada
Sault Ste. Marie,Canada
St. Catharines[ON 19],Canada
St. Thomas,Canada
Stratford,Canada
Temiskaming Shores,Canada
Thorold,Canada
Thunder Bay[ON 20],Canada
Timmins,Canada
Toronto[ON 21],Canada
Vaughan,Canada
Waterloo[ON 22],Canada
Welland,Canada
Windsor[ON 23],Canada
Woodstock,Canada
Total cities,Canada
Charlottetown[PE 1],Canada
Summerside[PE 2],Canada
Acton Vale,Canada
Alma,Canada
Amos,Canada
Amqui,Canada
Asbestos,Canada
Baie-Comeau,Canada
Baie-D'Urfé,Canada
Baie-Saint-Paul,Canada
Barkmere,Canada
Beaconsfield,Canada
Beauceville,Canada
Beauharnois,Canada
Beaupré,Canada
Bécancour,Canada
Bedford,Canada
Belleterre,Canada
Beloeil,Canada
Berthierville,Canada
Blainville,Canada
Boisbriand,Canada
Bois-des-Filion,Canada
Bonaventure,Canada
Boucherville,Canada
Brome Lake,Canada
Bromont,Canada
Brossard,Canada
Brownsburg-Chatham,Canada
Candiac,Canada
Cap-Chat,Canada
Cap-Santé,Canada
Carignan,Canada
Carleton-sur-Mer,Canada
Causapscal,Canada
Chambly,Canada
Chandler,Canada
Chapais,Canada
Charlemagne,Canada
Châteauguay,Canada
Château-Richer,Canada
Chibougamau,Canada
Clermont,Canada
Coaticook,Canada
Contrecoeur,Canada
Cookshire-Eaton,Canada
Côte Saint-Luc,Canada
Coteau-du-Lac,Canada
Cowansville,Canada
Danville,Canada
Daveluyville,Canada
Dégelis,Canada
Delson,Canada
Desbiens,Canada
Deux-Montagnes,Canada
Disraeli,Canada
Dolbeau-Mistassini,Canada
Dollard-des-Ormeaux,Canada
Donnacona,Canada
Dorval,Canada
Drummondville,Canada
Dunham,Canada
Duparquet,Canada
East Angus,Canada
Estérel,Canada
Farnham,Canada
Fermont,Canada
Forestville,Canada
Fossambault-sur-le-Lac,Canada
Gaspé,Canada
Gatineau,Canada
Gracefield,Canada
Granby,Canada
Grande-Rivière,Canada
Hampstead,Canada
Hudson,Canada
Huntingdon,Canada
Joliette,Canada
Kingsey Falls,Canada
Kirkland,Canada
La Malbaie,Canada
La Pocatière,Canada
La Prairie,Canada
La Sarre,Canada
La Tuque[QC 1],Canada
Lac-Delage,Canada
Lachute,Canada
Lac-Mégantic,Canada
Lac-Saint-Joseph,Canada
Lac-Sergent,Canada
L'Ancienne-Lorette,Canada
L'Assomption,Canada
Laval,Canada
Lavaltrie,Canada
Lebel-sur-Quévillon,Canada
L'Épiphanie,Canada
Léry,Canada
Lévis,Canada
L'Île-Cadieux,Canada
L'Île-Dorval[QC 2],Canada
L'Île-Perrot,Canada
Longueuil,Canada
Lorraine,Canada
Louiseville,Canada
Macamic,Canada
Magog,Canada
Malartic,Canada
Maniwaki,Canada
Marieville,Canada
Mascouche,Canada
Matagami,Canada
Matane,Canada
Mercier,Canada
Métabetchouan–Lac-à-la-Croix,Canada
Métis-sur-Mer,Canada
Mirabel,Canada
Mont-Joli,Canada
Mont-Laurier,Canada
Montmagny,Canada
Montreal[QC 3],Canada
Montreal West,Canada
Montréal-Est,Canada
Mont-Saint-Hilaire,Canada
Mont-Tremblant,Canada
Mount Royal,Canada
Murdochville,Canada
Neuville,Canada
New Richmond,Canada
Nicolet,Canada
Normandin,Canada
Notre-Dame-de-l'Île-Perrot,Canada
Notre-Dame-des-Prairies,Canada
Otterburn Park,Canada
Paspébiac,Canada
Percé,Canada
Pincourt,Canada
Plessisville,Canada
Pohénégamook,Canada
Pointe-Claire,Canada
Pont-Rouge,Canada
Port-Cartier,Canada
Portneuf,Canada
Prévost,Canada
Princeville,Canada
Québec[QC 4],Canada
Repentigny,Canada
Richelieu,Canada
Richmond,Canada
Rimouski,Canada
Rivière-du-Loup,Canada
Rivière-Rouge,Canada
Roberval,Canada
Rosemère,Canada
Rouyn-Noranda,Canada
Saguenay,Canada
Saint-Augustin-de-Desmaures,Canada
Saint-Basile,Canada
Saint-Basile-le-Grand,Canada
Saint-Bruno-de-Montarville,Canada
Saint-Césaire,Canada
Saint-Colomban,Canada
Saint-Constant,Canada
Sainte-Adèle,Canada
Sainte-Agathe-des-Monts,Canada
Sainte-Anne-de-Beaupré,Canada
Sainte-Anne-de-Bellevue,Canada
Sainte-Anne-des-Monts,Canada
Sainte-Anne-des-Plaines,Canada
Sainte-Catherine,Canada
Sainte-Catherine-de-la-Jacques-Cartier,Canada
Sainte-Julie,Canada
Sainte-Marguerite-du-Lac-Masson,Canada
Sainte-Marie,Canada
Sainte-Marthe-sur-le-Lac,Canada
Sainte-Thérèse,Canada
Saint-Eustache,Canada
Saint-Félicien,Canada
Saint-Gabriel,Canada
Saint-Georges,Canada
Saint-Hyacinthe,Canada
Saint-Jean-sur-Richelieu,Canada
Saint-Jérôme,Canada
Saint-Joseph-de-Beauce,Canada
Saint-Joseph-de-Sorel,Canada
Saint-Lambert,Canada
Saint-Lazare,Canada
Saint-Lin-Laurentides,Canada
Saint-Marc-des-Carrières,Canada
Saint-Ours,Canada
Saint-Pamphile,Canada
Saint-Pascal,Canada
Saint-Pie,Canada
Saint-Raymond,Canada
Saint-Rémi,Canada
Saint-Sauveur,Canada
Saint-Tite,Canada
Salaberry-de-Valleyfield,Canada
Schefferville,Canada
Scotstown,Canada
Senneterre,Canada
Sept-Îles,Canada
Shawinigan,Canada
Sherbrooke,Canada
Sorel-Tracy,Canada
Stanstead,Canada
Sutton,Canada
Témiscaming,Canada
Témiscouata-sur-le-Lac,Canada
Terrebonne,Canada
Thetford Mines,Canada
Thurso,Canada
Trois-Pistoles,Canada
Trois-Rivières,Canada
Valcourt,Canada
Val-d'Or,Canada
Varennes,Canada
Vaudreuil-Dorion,Canada
Victoriaville,Canada
Ville-Marie,Canada
Warwick,Canada
Waterloo,Canada
Waterville,Canada
Westmount,Canada
Windsor,Canada
Total villes (cities/towns),Canada
Estevan,Canada
Flin Flon (part)[SK 1],Canada
Humboldt,Canada
Lloydminster (part)[SK 4],Canada
Martensville[SK 7],Canada
Meadow Lake,Canada
Melfort,Canada
Melville[SK 8],Canada
Moose Jaw,Canada
North Battleford,Canada
Prince Albert,Canada
Regina[SK 9],Canada
Saskatoon[SK 10],Canada
Swift Current,Canada
Warman[SK 11],Canada
Weyburn,Canada
Yorkton,Canada
Whitehorse,Canada
Download coordinates as: KML · GPX,Canada
Old cities in Cape Verde,Republic of Cape Verde
Number,Republic of Cape Verde
2000,Republic of Cape Verde
Praia,Republic of Cape Verde
Mindelo,Republic of Cape Verde
Assomada,Republic of Cape Verde
Porto Novo,Republic of Cape Verde
São Filipe,Republic of Cape Verde
New cities in Cape Verde,Republic of Cape Verde
Number,Republic of Cape Verde
2000,Republic of Cape Verde
Pedra Badejo,Republic of Cape Verde
Tarrafal,Republic of Cape Verde
Espargos,Republic of Cape Verde
Ribeira Brava,Republic of Cape Verde
Calheta de São Miguel,Republic of Cape Verde
Vila do Maio,Republic of Cape Verde
Ribeira Grande,Republic of Cape Verde
Cidade Velha,Republic of Cape Verde
Sal Rei,Republic of Cape Verde
São Domingos,Republic of Cape Verde
Pombas,Republic of Cape Verde
Nova Sintra,Republic of Cape Verde
Ponta do Sol,Republic of Cape Verde
Santa Maria,Republic of Cape Verde
Mosteiros,Republic of Cape Verde
Cova Figueira,Republic of Cape Verde
João Teves,Republic of Cape Verde
Picos,Republic of Cape Verde
Tarrafal de São Nicolau,Republic of Cape Verde
British Overseas Territory,Cayman Islands (UK overseas territory)
English,Cayman Islands (UK overseas territory)
Cayman Islands English,Cayman Islands (UK overseas territory)
Caymanian,Cayman Islands (UK overseas territory)
Elizabeth II,Cayman Islands (UK overseas territory)
Helen Kilpatrick,Cayman Islands (UK overseas territory)
Alden McLaughlin,Cayman Islands (UK overseas territory)
Baron Ahmad of Wimbledon,Cayman Islands (UK overseas territory)
Legislative Assembly,Cayman Islands (UK overseas territory)
6 November 2009,Cayman Islands (UK overseas territory)
264 km2 (102 sq mi),Cayman Islands (UK overseas territory)
1.6,Cayman Islands (UK overseas territory)
"60,765",Cayman Islands (UK overseas territory)
212[3]/km2 (549.1/sq mi) (59th),Cayman Islands (UK overseas territory)
2014[4] estimate,Cayman Islands (UK overseas territory)
$2.507 billion[4] (192 th),Cayman Islands (UK overseas territory)
"$43,800 (2004 est.)[4] (11th)",Cayman Islands (UK overseas territory)
2014[5] estimate,Cayman Islands (UK overseas territory)
$3.480 billion[5][6] (160th),Cayman Islands (UK overseas territory)
"$58,808[5][6] (9th)",Cayman Islands (UK overseas territory)
Cayman Islands dollar (KYD),Cayman Islands (UK overseas territory)
EST (UTC-5),Cayman Islands (UK overseas territory)
left,Cayman Islands (UK overseas territory)
+1-345,Cayman Islands (UK overseas territory)
KY,Cayman Islands (UK overseas territory)
.ky,Cayman Islands (UK overseas territory)
17th century and before,Cayman Islands (UK overseas territory)
17th and 18th centuries,Cayman Islands (UK overseas territory)
17th and 18th century,Cayman Islands (UK overseas territory)
18th and 19th centuries,Cayman Islands (UK overseas territory)
Bangui,Central African Republic
Bimbo,Central African Republic
Berbérati,Central African Republic
Carnot *,Central African Republic
Bambari,Central African Republic
Bouar,Central African Republic
Bossangoa,Central African Republic
Bria,Central African Republic
Bangassou,Central African Republic
Nola,Central African Republic
Kaga-Bandoro,Central African Republic
Sibut,Central African Republic
Mbaïki,Central African Republic
Bozoum,Central African Republic
 Tarapacá,Republic of Chile
Tarapacá,Republic of Chile
 Antofagasta,Republic of Chile
Antofagasta,Republic of Chile
Antofagasta,Republic of Chile
Antofagasta,Republic of Chile
Antofagasta,Republic of Chile
Antofagasta,Republic of Chile
Antofagasta,Republic of Chile
Antofagasta,Republic of Chile
 Atacama,Republic of Chile
Atacama,Republic of Chile
Atacama,Republic of Chile
Atacama,Republic of Chile
Atacama,Republic of Chile
Atacama,Republic of Chile
Atacama,Republic of Chile
Atacama,Republic of Chile
 Coquimbo,Republic of Chile
Coquimbo,Republic of Chile
Coquimbo,Republic of Chile
Coquimbo,Republic of Chile
Coquimbo,Republic of Chile
Coquimbo,Republic of Chile
Coquimbo,Republic of Chile
Coquimbo,Republic of Chile
Coquimbo,Republic of Chile
Coquimbo,Republic of Chile
Coquimbo,Republic of Chile
 Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
Valparaíso,Republic of Chile
 Santiago Metropolitan Region,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
Santiago Metropolitan,Republic of Chile
 O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
O'Higgins,Republic of Chile
Template:Country data Maule Region,Republic of Chile
Maule Region,Republic of Chile
Maule,Republic of Chile
Maule,Republic of Chile
Maule,Republic of Chile
Maule,Republic of Chile
Maule,Republic of Chile
Maule,Republic of Chile
Maule,Republic of Chile
Maule,Republic of Chile
Maule,Republic of Chile
Maule,Republic of Chile
Maule,Republic of Chile
Template:Country data Biobío Region,Republic of Chile
Biobío Region,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Biobío,Republic of Chile
Template:Country data Araucanía Region,Republic of Chile
Araucanía Region,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Araucanía,Republic of Chile
Template:Country data Los Ríos Region,Republic of Chile
Los Ríos Region,Republic of Chile
Los Ríos,Republic of Chile
Los Ríos,Republic of Chile
Los Ríos,Republic of Chile
Los Ríos,Republic of Chile
Los Ríos,Republic of Chile
Los Ríos,Republic of Chile
Los Ríos,Republic of Chile
Template:Country data Los Lagos Region,Republic of Chile
Los Lagos Region,Republic of Chile
Los Lagos,Republic of Chile
Los Lagos,Republic of Chile
Los Lagos,Republic of Chile
Los Lagos,Republic of Chile
Los Lagos,Republic of Chile
Los Lagos,Republic of Chile
Los Lagos,Republic of Chile
Los Lagos,Republic of Chile
Los Lagos,Republic of Chile
Los Lagos,Republic of Chile
Los Lagos,Republic of Chile
Template:Country data Aisén Region,Republic of Chile
Aysén Region,Republic of Chile
Template:Magallanes Region,Republic of Chile
Magallanes Region,Republic of Chile
RM,Republic of Chile
V,Republic of Chile
VIII,Republic of Chile
IV,Republic of Chile
II,Republic of Chile
IX,Republic of Chile
VI,Republic of Chile
VII,Republic of Chile
XV,Republic of Chile
VIII,Republic of Chile
I,Republic of Chile
X,Republic of Chile
X,Republic of Chile
V,Republic of Chile
XIV,Republic of Chile
II,Republic of Chile
III,Republic of Chile
VIII,Republic of Chile
XII,Republic of Chile
V,Republic of Chile
List of township-level divisions,People's Republic of China
   ,People's Republic of China
   ,People's Republic of China
   ,People's Republic of China
   ,People's Republic of China
   ,People's Republic of China
   ,People's Republic of China
   ,People's Republic of China
Hong Kong,People's Republic of China
Macau,People's Republic of China
Beijing,People's Republic of China
Chongqing,People's Republic of China
Shanghai,People's Republic of China
Tianjin,People's Republic of China
Anqing,People's Republic of China
Bengbu,People's Republic of China
Bozhou,People's Republic of China
Chaohu,People's Republic of China
Chizhou,People's Republic of China
Chuzhou,People's Republic of China
Fuyang,People's Republic of China
Hefei,People's Republic of China
Huaibei,People's Republic of China
Huainan,People's Republic of China
Huangshan,People's Republic of China
Jieshou,People's Republic of China
Lu'an,People's Republic of China
Ma'anshan,People's Republic of China
Mingguang,People's Republic of China
Ningguo,People's Republic of China
Suzhou,People's Republic of China
Tianchang,People's Republic of China
Tongcheng,People's Republic of China
Tongling,People's Republic of China
Wuhu,People's Republic of China
Xuancheng,People's Republic of China
Fu'an,People's Republic of China
Fuding,People's Republic of China
Fuqing,People's Republic of China
Fuzhou,People's Republic of China
Jian'ou,People's Republic of China
Jinjiang,People's Republic of China
Longhai,People's Republic of China
Longyan,People's Republic of China
